Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,32.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,40.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,39.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,32.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,34.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,35.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,27.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,28.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,34.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,34.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,37.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,34.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,34.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,27.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,35.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,34.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,36.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,35.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,34.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,25.6
